      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2023-02-27 16:12:54,  23900,      53.25,           0,       0.06,      448.83,        0.00,       24.95,   23900,       0
2023-02-27 16:13:44,  19565,      42.79,           0,       0.05,      457.23,        0.00,       24.69,   19565,     274
2023-02-27 16:14:17,    172,       5.12,          13,       0.62,       33.59,        2.54,       20.83,     128,      15
2023-02-27 16:17:12,     49,       1.46,           1,       0.59,       33.56,        0.68,       19.73,      41,      18
2023-02-27 16:17:42,    545,      12.51,          51,       0.56,       43.57,        4.08,       24.40,     420,      34
2023-02-27 16:18:51,    136,       3.61,          22,       0.64,       37.67,        6.09,       23.97,      99,       2
2023-02-27 16:19:20,   4201,       5.12,           0,       0.03,      820.51,        0.00,       24.85,    4201,       0
2023-02-27 16:20:30,   7996,       9.75,           0,       0.03,      820.10,        0.00,       24.88,    7996,       0
2023-02-27 16:20:54,    154,      11.02,          71,       1.64,       13.97,        6.44,       22.91,     119,      13
2023-02-27 16:21:59,   5067,       9.24,          13,       0.05,      548.38,        1.41,       24.89,    5067,       0
2023-02-27 16:22:08,   3364,       6.15,           8,       0.05,      546.99,        1.30,       24.85,    3364,       0
2023-02-27 16:22:39,   1426,       5.38,           3,       0.09,      265.06,        0.56,       24.80,    1232,       0
2023-02-27 16:22:46,  14563,      30.98,          36,       0.05,      470.08,        1.16,       24.95,   14069,       0
2023-02-27 16:23:58,   1296,       4.45,           0,       0.08,      291.24,        0.00,       24.72,     183,       0
2023-02-27 16:24:20,  10698,      30.98,          26,       0.07,      345.32,        0.84,       23.99,   10560,       0
2023-02-27 16:24:27,   7481,      24.65,          18,       0.07,      303.49,        0.73,       21.98,    6985,       0
2023-02-27 16:45:05,   3254,       2.03,           0,       0.02,     1602.96,        0.00,       24.78,    3254,       0
2023-02-27 16:45:15,   5847,       7.16,          14,       0.03,      816.62,        1.96,       24.89,    5610,       0
2023-02-27 16:54:39,   7408,       6.86,          19,       0.02,     1079.88,        2.77,       24.88,    7406,       0
